AF;38041754
AX;29489
AL;2880917
DZ;43053054
AS;55312
AD;77142
AO;31825295
AI;14869
AQ;1106
AG;97118
AR;44780677
AM;2957731
AW;106314
AU;25203198
AT;8955102
AZ;10047718
BS;389482
BH;1641172
BD;163046161
BB;287025
BY;9452411
BE;11539328
BZ;390353
BJ;11801151
BM;62506
BT;763092
BO;11513100
BQ;25979
BA;3301000
BW;2303697
BV;0
BR;211049527
IO;2500
BN;433285
BG;7000119
BF;20321378
BI;10864245
KH;16486542
CM;25876380
CA;37411047
CV;549935
KY;64948
CF;4745185
TD;15946876
CL;18952038
CN;1433783686
CX;1843
CC;544
CO;50339443
KM;850886
CG;5380508
CD;86790567
CK;17548
CR;5047561
CI;25716544
HR;4130304
CU;11333483
CW;163424
CY;1179551
CZ;10689209
DK;5771876
DJ;973560
DM;71808
DO;10738958
EC;17373662
EG;100388073
SV;6453553
GQ;1355986
ER;3497117
EE;1325648
ET;112078730
FK;3377
FO;48678
FJ;889953
FI;5532156
FR;65129728
GF;282731
PF;279287
TF;310
GA;2172579
GM;2347706
GE;3996765
DE;83517045
GH;28833629
GI;33701
GR;10473455
GL;56672
GD;112003
GP;447905
GU;167294
GT;17581472
GG;172259
GN;12771246
GW;1920922
GY;782766
HT;11263770
HM;0
VA;1000
HN;9746117
HK;7436154
HU;9684679
IS;339031
IN;1366417754
ID;270625568
IR;82913906
IQ;39309783
IE;4882495
IM;84584
IL;8519377
IT;60550075
JM;2948279
JP;126860301
JE;106800
JO;10101694
KZ;18551427
KE;52573973
KI;117606
KP;25666161
KR;51225308
KW;4207083
KG;6415850
LA;7169455
LV;1906743
LB;6855713
LS;2125268
LR;4937374
LY;6777452
LI;38019
LT;2759627
LU;615729
MO;640445
MK;2083459
MG;26969307
MW;18628747
MY;31949777
MV;530953
ML;19658031
MT;440372
MH;58791
MQ;375554
MR;4525696
MU;1198575
YT;266150
MX;127575529
FM;113815
MD;4043263
MC;38964
MN;3225167
ME;627987
MS;4989
MA;36471769
MZ;30366036
MM;54045420
NA;2494530
NR;10756
NP;28608710
NL;17097130
NC;282750
NZ;4783063
NI;6545502
NE;23310715
NG;200963599
NU;1615
NF;1748
MP;56188
NO;5378857
OM;4974986
PK;216565318
PW;18008
PS;4981420
PA;4246439
PG;8776109
PY;7044636
PE;32510453
PH;108116615
PN;50
PL;37887768
PT;10226187
PR;2933408
QA;2832067
RE;888927
RO;19364557
RU;145872256
RW;12626950
BL;9625
SH;6059
KN;52823
LC;182790
MF;36824
PM;5822
VC;110589
WS;197097
SM;33860
ST;215056
SA;34268528
SN;16296364
RS;8772235
SC;97739
SL;7813215
SG;5804337
SX;42388
SK;5457013
SI;2078654
SB;669823
SO;15442905
ZA;58558270
GS;35
SS;11062113
ES;46736776
LK;21323733
SD;42813238
SR;581372
SJ;2667
SZ;1148130
SE;10036379
CH;8591365
SY;17070135
TW;23773876
TJ;9321018
TZ;58005463
TH;69037513
TL;1293119
TG;8082366
TK;1340
TO;110940
TT;1394973
TN;11694719
TR;83429615
TM;5942089
TC;38191
TV;11646
UG;44269594
UA;43993638
AE;9770529
GB;67530172
US;329064917
UM;300
UY;3461734
UZ;32981716
VU;299882
VE;28515829
VN;96462106
VG;30030
VI;104901
WF;11432
EH;582463
XX;-1
YE;29161922
ZM;17861030
ZW;14645468
ZZ;-1